filter_mode,input_rows,concentration_rows,share_ci_rows,share_diff_rows,weight_metric,n_boot,status
balanced,54702,6602,866,423,doc_count_weighted,300,ok
strict,54702,6408,827,389,doc_count_weighted,300,ok
