candidate,window_type,filter_mode,weight_metric,distribution_unit,group_scope,source,issue_type,observed
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,symbolic_event,1.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_article,administrative_notice,4.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_article,administrative_performance,52.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_article,campaign_strategy,11.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_article,candidate_positioning,13.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_article,candidate_selection,21.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_article,community_reaction,0.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_article,controversy_attack_defense,23.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_article,debate_broadcast,6.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_article,legal_election_rule,5.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_article,media_column_summary,0.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_article,media_photo_event,5.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_article,policy_real_estate_tax,14.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_article,policy_transport_infrastructure,12.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_article,policy_welfare_livelihood,5.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_article,race_polling,25.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_article,regional_visit,2.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_article,safety_accident,4.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_article,symbolic_event,2.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,administrative_notice,1.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,administrative_performance,25.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,campaign_strategy,5.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,candidate_positioning,5.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,candidate_selection,15.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,community_reaction,13.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,controversy_attack_defense,14.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,debate_broadcast,7.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,legal_election_rule,4.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,media_column_summary,1.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,media_photo_event,1.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,policy_real_estate_tax,22.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,policy_transport_infrastructure,10.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,policy_welfare_livelihood,1.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,race_polling,12.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,regional_visit,1.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,safety_accident,2.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,symbolic_event,3.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,youtube,administrative_notice,1.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,youtube,administrative_performance,56.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,youtube,campaign_strategy,8.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,youtube,candidate_positioning,3.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,youtube,candidate_selection,19.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,youtube,community_reaction,0.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,youtube,controversy_attack_defense,28.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,youtube,debate_broadcast,21.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,youtube,legal_election_rule,2.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,youtube,media_column_summary,0.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,youtube,media_photo_event,0.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,youtube,policy_real_estate_tax,10.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,youtube,policy_transport_infrastructure,4.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,youtube,policy_welfare_livelihood,0.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,youtube,race_polling,18.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,youtube,regional_visit,4.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,youtube,safety_accident,7.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,youtube,symbolic_event,1.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,administrative_notice,19.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,administrative_performance,249.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,campaign_strategy,62.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,candidate_positioning,36.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,candidate_selection,126.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,community_reaction,3.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,controversy_attack_defense,127.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,debate_broadcast,43.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,legal_election_rule,23.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,media_column_summary,4.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,media_photo_event,86.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,policy_real_estate_tax,97.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,policy_transport_infrastructure,69.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,policy_welfare_livelihood,24.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,race_polling,58.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,regional_visit,32.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,safety_accident,23.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,symbolic_event,18.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_article,administrative_notice,25.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_article,administrative_performance,304.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_article,campaign_strategy,104.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_article,candidate_positioning,48.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_article,candidate_selection,149.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_article,community_reaction,5.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_article,controversy_attack_defense,111.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_article,debate_broadcast,48.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_article,legal_election_rule,38.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_article,media_column_summary,2.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_article,media_photo_event,58.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_article,policy_real_estate_tax,101.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_article,policy_transport_infrastructure,58.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_article,policy_welfare_livelihood,23.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_article,race_polling,85.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_article,regional_visit,34.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_article,safety_accident,35.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_article,symbolic_event,25.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,administrative_notice,4.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,administrative_performance,84.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,campaign_strategy,21.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,candidate_positioning,10.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,candidate_selection,44.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,community_reaction,85.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,controversy_attack_defense,73.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,debate_broadcast,15.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,legal_election_rule,19.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,media_column_summary,13.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,media_photo_event,1.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,policy_real_estate_tax,32.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,policy_transport_infrastructure,24.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,policy_welfare_livelihood,10.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,race_polling,33.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,regional_visit,3.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,safety_accident,12.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,symbolic_event,3.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_article,administrative_notice,30.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_article,administrative_performance,339.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_article,campaign_strategy,101.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_article,candidate_positioning,44.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_article,candidate_selection,141.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_article,community_reaction,3.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_article,controversy_attack_defense,115.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_article,debate_broadcast,42.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_article,legal_election_rule,32.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_article,media_column_summary,2.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_article,media_photo_event,50.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_article,policy_real_estate_tax,113.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_article,policy_transport_infrastructure,73.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_article,policy_welfare_livelihood,16.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_article,race_polling,106.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_article,regional_visit,48.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_article,safety_accident,30.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_article,symbolic_event,20.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,administrative_notice,4.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,administrative_performance,201.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,campaign_strategy,48.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,candidate_positioning,24.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,candidate_selection,79.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,community_reaction,30.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,controversy_attack_defense,91.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,debate_broadcast,30.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,legal_election_rule,14.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,media_column_summary,2.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,media_photo_event,3.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,policy_real_estate_tax,156.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,policy_transport_infrastructure,43.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,policy_welfare_livelihood,3.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,race_polling,84.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,regional_visit,10.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,safety_accident,20.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,symbolic_event,4.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,youtube,administrative_notice,7.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,youtube,administrative_performance,246.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,youtube,campaign_strategy,56.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,youtube,candidate_positioning,29.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,youtube,candidate_selection,109.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,youtube,community_reaction,3.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,youtube,controversy_attack_defense,164.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,youtube,debate_broadcast,102.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,youtube,legal_election_rule,27.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,youtube,media_column_summary,1.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,youtube,media_photo_event,7.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,youtube,policy_real_estate_tax,56.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,youtube,policy_transport_infrastructure,35.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,youtube,policy_welfare_livelihood,4.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,youtube,race_polling,82.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,youtube,regional_visit,14.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,youtube,safety_accident,39.0
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,youtube,symbolic_event,3.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,administrative_notice,5.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,administrative_performance,152.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,campaign_strategy,45.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,candidate_positioning,22.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,candidate_selection,94.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,community_reaction,0.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,controversy_attack_defense,123.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,debate_broadcast,40.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,legal_election_rule,29.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,media_column_summary,2.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,media_photo_event,16.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,policy_real_estate_tax,114.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,policy_transport_infrastructure,45.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,policy_welfare_livelihood,16.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,race_polling,31.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,regional_visit,6.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,safety_accident,16.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,symbolic_event,4.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,daum_article,administrative_notice,12.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,daum_article,administrative_performance,248.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,daum_article,campaign_strategy,63.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,daum_article,candidate_positioning,54.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,daum_article,candidate_selection,139.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,daum_article,community_reaction,5.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,daum_article,controversy_attack_defense,116.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,daum_article,debate_broadcast,56.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,daum_article,legal_election_rule,20.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,daum_article,media_column_summary,0.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,daum_article,media_photo_event,17.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,daum_article,policy_real_estate_tax,110.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,daum_article,policy_transport_infrastructure,44.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,daum_article,policy_welfare_livelihood,8.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,daum_article,race_polling,106.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,daum_article,regional_visit,16.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,daum_article,safety_accident,21.0
JWO,rolling_14d,balanced,row_count,stable_issue,candidate_window_type,daum_article,symbolic_event,13.0
